Sr No,BUILDING,ELEMENT TYPE,Element ID,TYPE,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,Terrace,Per Building TOTAL 
1,B15,NLW,FNLW - 101,3A,7,,,,,,,,,,,,,,,,,,,,,,,,7
2,B15,NLW,FNLW - 101,4A,6,,,,,,,,,,,,,,,,,,,,,,,,6
3,B15,NLW,FNLW - 101,5A,5,,,,,,,,,,,,,,,,,,,,,,,,5
4,B15,NLW,NLW - 101,3A,,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,150
5,B15,NLW,NLW - 101,4A,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,132
6,B15,NLW,NLW - 101,5A,,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,106
7,B15,NLW,FNLW - 102,3A,7,,,,,,,,,,,,,,,,,,,,,,,,7
8,B15,NLW,FNLW - 102,4A,6,,,,,,,,,,,,,,,,,,,,,,,,6
9,B15,NLW,FNLW - 102,5A,5,,,,,,,,,,,,,,,,,,,,,,,,5
10,B15,NLW,NLW - 102,3A,,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,150
11,B15,NLW,NLW - 102,4A,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,132
12,B15,NLW,NLW - 102,5A,,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,106
13,B15,NLW,FNLW - 103,3A,7,,,,,,,,,,,,,,,,,,,,,,,,7
14,B15,NLW,FNLW - 103,4A,6,,,,,,,,,,,,,,,,,,,,,,,,6
15,B15,NLW,FNLW - 103,5A,5,,,,,,,,,,,,,,,,,,,,,,,,5
